step,time_fs,temperature_K,kinetic_eV,potential_eV,total_eV,pressure_GPa,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg
960,960.0,203.0490173862492,26.036138007074296,-996520.4887377671,-996494.45259976,-0.8202207700532428,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
970,970.0,196.66821622671955,25.217954192526744,-996519.6847033864,-996494.4667491938,-1.128837435549646,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
980,980.0,194.25378742684373,24.908361946028737,-996519.3074813033,-996494.3991193573,-0.8761404175195557,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
990,990.0,201.26420166016263,25.807278448137403,-996520.1650699435,-996494.3577914954,-0.4986194459468658,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1000,1000.0,199.69683429074948,25.60630139509312,-996519.9841540259,-996494.3778526308,-0.5784426975550296,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1010,1010.0,201.26012179867385,25.806755304326423,-996520.1802858475,-996494.3735305432,-0.6808633900534911,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1020,1020.0,206.39892566274222,26.46568292839692,-996520.8622768916,-996494.3965939631,-0.7174360772120816,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1030,1030.0,200.33177775620268,25.687717576791666,-996520.1097385134,-996494.4220209366,-0.6418513525657735,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1040,1040.0,199.88115976141415,25.629936689930894,-996520.0400108177,-996494.4100741277,-0.6135111512386662,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1050,1050.0,203.58435769533236,26.104782486852915,-996520.5302069769,-996494.4254244901,-0.7940906391616007,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1060,1060.0,197.24456852034243,25.29185746992559,-996519.7081031493,-996494.4162456794,-0.7146202545306266,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1070,1070.0,199.85732260315214,25.626880149445277,-996520.0679733489,-996494.4410931994,-0.41772137570956525,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1080,1080.0,197.92806195843661,25.379499014367536,-996519.8277699002,-996494.4482708859,-0.39493134116051154,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1090,1090.0,204.0101096886221,26.159374908903363,-996520.5759659626,-996494.4165910537,-0.6347358345887718,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1100,1100.0,200.76473439759195,25.74323382115175,-996520.112287175,-996494.3690533539,-0.5097927694035908,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1110,1110.0,195.75655008423757,25.10105500331823,-996519.3615583443,-996494.260503341,-0.6405478871453851,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1120,1120.0,199.1880142944442,25.5410575056368,-996519.7564616951,-996494.2154041894,-1.110337348584178,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1130,1130.0,199.00068181871217,25.517036634941878,-996519.7624176539,-996494.245381019,-1.2094485643866706,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1140,1140.0,202.785947339504,26.002405620034192,-996520.2490699334,-996494.2466643134,-1.1458805156911072,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1150,1150.0,199.69222516250042,25.605710385588473,-996519.8154323124,-996494.2097219268,-1.290881123385268,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1160,1160.0,196.67538309774994,25.218873170838624,-996519.3729583002,-996494.1540851294,-1.2893803758283655,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1170,1170.0,201.93078119522679,25.89275119255659,-996520.050276081,-996494.1575248884,-0.9894596313484336,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1180,1180.0,204.1873685069395,26.182104076057634,-996520.389470984,-996494.207366908,-1.0058774347856219,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1190,1190.0,201.64938720152892,25.856669201377372,-996520.060447477,-996494.2037782756,-0.8463304086469643,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1200,1200.0,195.29141921199064,25.041413190040526,-996519.2623132047,-996494.2209000146,-0.6805234160898506,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1210,1210.0,204.12218068334877,26.173745310311133,-996520.3888696125,-996494.2151243022,-0.4811752819249522,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
