LAMMPS data file for PMC-010 (2x2x2 supercell)

992 atoms
5 atom types

0.000000 22.088000 xlo xhi
0.000000 16.962000 ylo yhi
0.000000 22.422138 zlo zhi
0.000000 -0.512745 0.000000 xy xz yz

Masses

1 12.0110  # C
2 35.4530  # Cl
3 1.0080  # H
4 14.0070  # N
5 15.9990  # O

Atoms  # atomic

290 3 7.205443 8.608215 3.172733
291 3 3.814878 11.330616 8.004703
292 3 6.972749 15.571116 3.206366
293 3 1.544645 12.619728 6.827541
294 3 9.242982 16.860228 4.383528
295 4 6.274905 13.090084 7.121944
296 4 4.512722 8.849584 4.089125
297 4 1.208542 11.785961 8.538687
298 4 9.579086 16.026461 2.672383
299 4 1.787234 9.584972 8.906297
300 4 9.000393 13.825472 2.304772
301 4 0.211911 10.596077 10.225056
302 4 10.575716 14.836577 0.986014
303 5 7.083676 13.071341 4.585664
304 5 3.703952 8.830841 6.625405
305 5 5.906967 11.274557 4.009639
306 5 4.880660 15.515057 7.201430
307 1 3.444774 11.754751 1.765855
308 1 7.342854 15.995251 9.445214
309 1 2.056800 12.352407 1.653184
310 1 8.730827 16.592907 9.557885
311 1 1.391856 13.678072 3.622969
312 1 9.395772 9.437572 7.588100
313 1 5.934179 11.325188 10.247478
314 1 4.853449 15.565688 0.963591
315 1 5.571488 11.240293 0.443846
316 1 5.216140 15.480793 10.767223
317 1 4.114384 11.677234 0.398554
318 1 6.673243 15.917734 10.812516
319 3 7.249539 11.958210 1.244429
320 3 3.538089 16.198710 9.966640
321 3 6.187304 11.856438 2.298269
322 3 4.600324 16.096938 8.912800
323 3 6.089919 12.925044 1.244429
324 3 4.697709 8.684544 9.966640
325 3 5.636582 10.363782 0.784775
326 3 5.151046 14.604282 10.426294
327 3 3.843259 12.551880 11.110169
328 3 6.944369 16.792380 0.100900
329 3 3.368880 11.059224 11.087747
330 3 7.418748 15.299724 0.123322
331 3 3.975171 12.314412 2.444013
332 3 6.812457 16.554912 8.767056
333 3 3.450699 10.915047 2.197370
334 3 7.336929 15.155547 9.013700
335 3 2.191387 13.111626 1.244429
336 3 8.596241 8.871126 9.966640
337 3 1.487647 11.763147 1.109896
338 3 9.299980 16.003647 10.101173
339 3 0.932194 11.864919 3.183944
340 3 9.855433 16.105419 8.027125
341 3 2.794765 14.553396 2.870034
342 3 7.992863 10.312896 8.341035
343 3 1.963152 15.418458 3.497854
344 3 8.824476 11.177958 7.713216
345 3 0.001482 13.247322 4.764704
346 3 10.786146 9.006822 6.446365
347 3 0.632035 14.409219 5.201936
348 3 10.155592 10.168719 6.009133
349 4 6.354418 12.086952 1.394321
350 4 4.433209 16.327452 9.816748
351 4 1.410410 12.547300 2.946829
352 4 9.377217 16.787800 8.264240
353 4 2.191083 14.694605 3.324755
354 4 8.596545 10.454105 7.886314
355 4 0.551776 13.807322 4.640374
356 4 10.235852 9.566822 6.570695
357 5 6.547357 12.369623 9.942537
358 5 4.240271 16.610123 1.268532
359 5 5.723944 10.355555 9.492188
360 5 5.063684 14.596055 1.718881
361 3 1.288089 15.393015 7.421728
362 3 9.499538 11.152515 3.789341
363 3 1.762685 16.266558 6.468787
